"","x"
"1","MEG3"
"2","SLC1A2"
"3","PLXNA4"
"4","LINGO1"
"5","PDE10A"
"6","KCNB1"
"7","STX1B"
"8","ANKRD24"
"9","AC106795.3"
"10","DLGAP2"
"11","CADM3"
"12","RBFOX3"
"13","MIR9-1HG"
"14","KIRREL3"
"15","TAFA1"
"16","IGSF21"
"17","DPP6"
"18","CAMK2A"
"19","TMEM179"
"20","NRXN3"
"21","COL26A1"
"22","NPTXR"
"23","ADGRB1"
"24","LRFN2"
"25","ATP2B2"
"26","HS6ST3"
"27","FXYD6"
"28","PDE2A"
"29","KCNQ2"
"30","SHANK2"
"31","IGSF9B"
"32","SPOCK2"
"33","TMEM178B"
"34","ADGRB2"
"35","SHANK1"
"36","COL5A3"
"37","RIMBP2"
"38","SHANK3"
"39","SRGAP3"
