"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold"
"770","AC253572.1",11.1363949113585,3.12335063385809,1.14550980993567,2.72660313056026,0.00639899523022942,NA,NA
"1123","AMER2",5.15809008362114,5.69161080459765,1.80801485967193,3.14798895271824,0.00164397906259145,NA,NA
"1538","TAF1D",27.7987659498995,3.49407013652304,0.811600102948312,4.30516226381697,1.66863382532321e-05,0.00157519033110511,TRUE
"2342","SNORA14B",29.9466177755045,4.4432432314431,0.884953811581021,5.02087586187689,5.14363950852277e-07,0.000242779784802275,TRUE
"2604","ADGRA3",5.19358887504684,3.04409973772015,1.47533710687224,2.0633248655785,0.0390817731256425,NA,NA
"2639","AL355075.4",45.4558812121054,3.35707494680821,0.724425696447522,4.63411908670664,3.58460610195068e-06,0.000676773632048288,TRUE
"2654","ALDH1A2",4.8493989604242,3.16327714829697,1.54366194600714,2.04920329640771,0.0404422398793722,NA,NA
"2670","ANLN",4.56328184232723,3.09582342260001,1.61635831826342,1.91530763174226,0.0554532828970609,NA,NA
"2824","CHASERR",6.31488436682693,3.55689759211784,1.44517737119189,2.46121871475495,0.0138465926812338,NA,NA
"3410","NFE2L2",4.24588559539494,5.41390740838444,1.86583021595253,2.90160774656583,0.00371253083315986,NA,NA
"3670","RNU1-77P",13.4836040231888,3.08127874160918,1.03052508740978,2.99000847165591,0.00278969709880691,NA,NA
"3783","SNORA33",4.52419570506647,3.06462214579422,1.75073984911147,1.75047260582408,0.0800367971181599,NA,NA
"4090","ZNF680",5.13294199338725,3.02882257858255,1.4792936797717,2.04747888806635,0.0406110876778369,NA,NA
"4454","GFAP",49.6819457176369,3.91971119369226,0.853384460744775,4.5931363576405,4.36633552503087e-06,0.000686970122604857,TRUE
"4516","AHNAK",22.2409055358416,3.09291287467956,0.961398065053325,3.21709912585273,0.00129493849921562,0.0321689985068301,TRUE
"5228","SNORA54",25.2576532500118,3.44713614628111,0.948625560038137,3.6338217010962,0.000279253876309388,0.0109839858015026,TRUE
"5558","SNORA12",17.6813322618738,3.59711317932477,1.08927354653228,3.30230472481062,0.000958938315169393,0.0275326163021366,TRUE
"5753","FKBP5",12.6378662161818,4.45863702254022,1.25832364240347,3.54331498852231,0.00039513044806054,NA,NA
"5825","MT-TM",7.78407517011006,3.5697470606151,2.882083626144,1.23859940365129,0.215493889055603,NA,NA
"5895","RNU1-91P",5.79274967820842,3.20908884179597,1.46361786410206,2.19257288429229,0.0283381665506984,NA,NA
"5933","SNHG8",5.22547316192233,3.05710074487004,1.50879896487651,2.02618162925387,0.0427461754789192,NA,NA
"6057","CD164",5.06035933304204,3.21570262167714,1.53569787070319,2.09396827528625,0.0362628064128452,NA,NA
"6159","PMP2",5.32552086478036,5.7311156485657,1.86203310772591,3.07788063745284,0.00208478401669858,NA,NA
"6171","RANBP3L",5.69895429864957,5.82332495419664,1.83406772381399,3.17508720020811,0.00149791480014422,NA,NA
"6196","SCARNA1",8.5049652148882,3.39965274401034,1.33793430631192,2.54097135260823,0.0110544976649481,NA,NA
"6218","SNORA11",4.69682606826971,5.53839201566471,1.91083881095184,2.89840879509135,0.00375061376476285,NA,NA
"6219","SNORA50A",6.10217885872284,5.93879784441363,1.77252907073625,3.3504656947301,0.000806758016526267,NA,NA
"6262","VTRNA1-1",7.61896134122977,3.94443429867228,3.01965772971693,1.30625211587872,0.191466835115223,NA,NA
"6280","SNORA53",10.5706399558725,3.73749447436492,1.26734531864014,2.94907348407239,0.00318728180577569,NA,NA
"6281","RAP1B",5.3151064299735,3.28886459968032,1.52582941003976,2.15546022251243,0.0311258381272972,NA,NA
"6282","SCARNA11",5.4799297847513,3.3327032025572,1.54788029538872,2.15307553981121,0.0313127422576146,NA,NA
"6294","RNU1-98P",5.39781305102308,5.73996012466926,1.85589244477388,3.09283015879113,0.00198257564671592,NA,NA
"6295","SNHG7",4.59700215701917,3.07115431276446,1.56711382131916,1.95975191526244,0.0500247939597062,NA,NA
"6296","AC008571.2",7.14287896065348,6.17482203589866,1.76134617320625,3.50574017182458,0.000455339485250865,NA,NA
"6319","LRP2",4.60245887191819,5.53528818656942,1.8867426091795,2.93378024095008,0.00334861207171816,NA,NA
"6324","RNU1-136P",4.6654560471042,5.53844214151984,1.84952190544826,2.99452638284786,0.00274871283128803,NA,NA
"6325","RPL18A",4.21660873490087,5.39267463859275,1.88161122934295,2.86598769952911,0.00415710397898654,NA,NA
"6326","SLC14A1",4.09817953081811,5.37099069763262,1.89227325967402,2.83838006491615,0.0045343156145259,NA,NA
